TransactionID,TransactionTime,Amount,CustomerID,Location,V1,V2,V3,Class
TRANS00001,2024-09-13 00:18:23,1750.61,CUST2524,NY,1.471,-1.143,-1.975,0
TRANS00002,2024-09-15 08:53:54,377.78,CUST8054,CA,0.596,-1.936,-1.138,0
TRANS00003,2024-09-24 01:48:23,1253.56,CUST8614,NY,-1.506,1.592,0.524,0
TRANS00004,2024-09-11 08:54:05,4658.76,CUST2445,NV,-1.675,-1.515,-1.36,1
TRANS00005,2024-09-18 16:23:37,305.0,CUST2511,AZ,-0.643,-1.777,0.468,0
TRANS00006,2024-09-28 05:42:17,3792.33,CUST1625,NJ,-0.202,0.095,-0.408,0
TRANS00007,2024-09-26 23:09:16,1950.77,CUST5936,MA,-0.468,-1.497,1.346,0
TRANS00008,2024-09-02 05:41:10,1470.59,CUST6354,TX,-1.916,0.805,1.964,0
TRANS00009,2024-09-14 20:30:26,577.45,CUST7708,CA,-1.81,0.362,0.86,0
TRANS00010,2024-09-06 04:58:26,1225.48,CUST3319,NV,1.475,-1.043,-1.278,0
TRANS00011,2024-09-08 03:13:53,1429.99,CUST9641,NJ,-1.123,-1.819,1.938,0
TRANS00012,2024-09-03 12:06:04,4891.97,CUST3397,NV,-1.87,0.77,-0.66,0
TRANS00013,2024-08-31 00:17:20,4445.28,CUST5935,IL,-1.931,-0.633,-1.858,0
TRANS00014,2024-09-21 07:59:40,1058.36,CUST1664,MA,-0.914,-1.522,-1.496,0
TRANS00015,2024-09-06 16:15:30,532.13,CUST0316,IL,1.073,0.341,1.442,0
TRANS00016,2024-09-26 15:26:40,2386.82,CUST5395,TX,0.106,0.849,0.691,0
TRANS00017,2024-09-06 08:01:53,894.29,CUST0416,TX,0.627,-1.006,0.293,0
TRANS00018,2024-08-31 12:21:04,3555.9,CUST4586,TX,0.386,0.635,-0.064,0
TRANS00019,2024-09-12 01:54:00,3233.99,CUST6449,NJ,1.268,-1.817,1.865,0
TRANS00020,2024-09-06 10:05:10,4205.1,CUST9445,AZ,0.919,1.382,0.895,0
TRANS00021,2024-09-10 18:28:36,4708.46,CUST9021,CA,1.334,-1.993,0.122,0
TRANS00022,2024-09-15 08:44:45,1386.86,CUST0634,TX,-1.7,1.839,1.796,0
TRANS00023,2024-09-28 10:29:43,1833.35,CUST7772,IL,-0.406,0.47,-0.584,0
TRANS00024,2024-09-19 05:48:41,2206.06,CUST5876,MA,1.759,1.763,0.643,0
TRANS00025,2024-09-04 00:34:42,4836.47,CUST3184,AZ,0.363,0.196,-1.777,0
TRANS00026,2024-09-01 11:40:33,1646.96,CUST2453,NV,-0.52,-1.052,-1.569,0
TRANS00027,2024-08-30 09:00:57,293.39,CUST5902,NV,1.288,0.145,1.626,0
